Mes;Data;Juros;Imposto;Capital;Prestacao;Saldo;PctJuros;JurosAcumulados
88;2033-06-04;36.24;1.45;327.51;365.20;5198.12;0.0992;9974.20
89;2033-07-04;34.09;1.36;329.75;365.20;4868.37;0.0933;10008.29
90;2033-08-04;31.93;1.28;331.99;365.20;4536.38;0.0874;10040.22
91;2033-09-04;29.75;1.19;334.26;365.20;4202.12;0.0815;10069.97
92;2033-10-04;27.56;1.10;336.54;365.20;3865.58;0.0755;10097.53
93;2033-11-05;25.35;1.01;338.84;365.20;3526.74;0.0694;10122.88
94;2033-12-05;23.13;0.93;341.14;365.20;3185.60;0.0633;10146.01
95;2034-01-05;20.89;0.84;343.47;365.20;2842.13;0.0572;10166.90
96;2034-02-05;18.64;0.75;345.81;365.20;2496.32;0.0510;10185.54
97;2034-03-05;16.37;0.65;348.18;365.20;2148.14;0.0448;10201.91
98;2034-04-04;14.09;0.56;350.55;365.20;1797.59;0.0386;10216.00
99;2034-05-04;11.79;0.47;352.94;365.20;1444.65;0.0323;10227.79
100;2034-06-04;9.47;0.38;355.35;365.20;1089.30;0.0259;10237.26
101;2034-07-04;7.14;0.29;357.77;365.20;731.53;0.0196;10244.40
102;2034-08-04;4.80;0.19;360.21;365.20;371.32;0.0131;10249.20
103;2034-09-04;2.44;0.10;362.66;365.20;8.66;0.0067;10251.64
104;2034-10-04;0.06;0.00;365.14;365.20;0.00;0.0002;10251.70
